company_name,entity_type,program_type,funding_model,phase_count,account_size,account_currency,current_fee_usd,original_fee_usd,discount_code,leverage,profit_target_phase_1_pct,profit_target_phase_1_amount,profit_target_phase_2_pct,profit_target_phase_2_amount,profit_target_phase_3_pct,profit_target_phase_3_amount,max_daily_loss_pct,max_daily_loss_amount,max_total_loss_pct,max_total_loss_amount,max_trading_days_phase_1,max_trading_days_phase_2,max_trading_days_phase_3,profit_split,commission,trading_environment,notes,source_url,source_checked_at,source_confidence,data_status,needs_review
Alpha Capital Group,cfd_prop_firm,Alpha Pro 6%,two_step,2,5000,USD,40,,,Up to 1:100,6%,300,6%,300,,,3%,150.0,6%,300,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 6%,two_step,2,10000,USD,67,,,Up to 1:100,6%,600,6%,600,,,3%,300.0,6%,600,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 6%,two_step,2,25000,USD,137,,,Up to 1:100,6%,1500,6%,1500,,,3%,750.0,6%,1500,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 6%,two_step,2,50000,USD,237,,,Up to 1:100,6%,3000,6%,3000,,,3%,1500.0,6%,3000,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 6%,two_step,2,100000,USD,427,,,Up to 1:100,6%,6000,6%,6000,,,3%,3000.0,6%,6000,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 6%,two_step,2,200000,USD,847,,,Up to 1:100,6%,12000,6%,12000,,,3%,6000.0,6%,12000,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 8%,two_step,2,5000,USD,77,,,Up to 1:100,8%,400,5%,250,,,4%,200.0,8%,400,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 8%,two_step,2,10000,USD,147,,,Up to 1:100,8%,800,5%,500,,,4%,400.0,8%,800,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 8%,two_step,2,25000,USD,247,,,Up to 1:100,8%,2000,5%,1250,,,4%,1000.0,8%,2000,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 8%,two_step,2,50000,USD,357,,,Up to 1:100,8%,4000,5%,2500,,,4%,2000.0,8%,4000,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 8%,two_step,2,100000,USD,577,,,Up to 1:100,8%,8000,5%,5000,,,4%,4000.0,8%,8000,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Pro 8%,two_step,2,200000,USD,1097,,,Up to 1:100,8%,16000,5%,10000,,,4%,8000.0,8%,16000,Unlimited,Unlimited,,80%,$0 commission,simulated/demo,"Screenshots show value rows for phase 1, phase 2, funded/analyst stage. Analyst performance fee is NA/NA/80%. All accounts are demo accounts with simulated funds.",https://alphacapitalgroup.uk/,2026-04-29,92,partial,false
Alpha Capital Group,cfd_prop_firm,Alpha Three,three_step,3,10000,USD,67,,,Up to 1:50,8%,800,4%,400,4%,400,4%,400,6%,600,Unlimited,Unlimited,Unlimited,80%,$0 commission,simulated/demo,"Only Alpha Three 10K was visible. Images show value rows for phase 1, phase 2, phase 3, funded/analyst stage. Analyst performance fee is NA/NA/NA/80%. Other account sizes were visible as buttons but their prices/rules were not captured.",https://alphacapitalgroup.uk/,2026-04-29,88,partial,true
